plan_id,data_id,outCardinality_count,outCardinality_mean,outCardinality_std,outCardinality_min,outCardinality_10%,outCardinality_50%,outCardinality_90%,outCardinality_max,outCardinality_kurtosis,outCardinality_skew,complexity_mean,complexity_std,complexity_min,complexity_max,selectivity_mean,selectivity_min,selectivity_max,sourceCardinalitySum,sourceCardinalityProd,sourceOutCard_mean,sourceOutCard_std,sourceOutCard_min,sourceOutCard_max,joinOutCard_mean,joinOutCard_std,joinOutCard_min,joinOutCard_max,joinOutCard_sum,joinOutCard_prod,groupbyOutCard_mean,groupbyOutCard_std,groupbyOutCard_min,groupbyOutCard_max,filterOutCard_mean,filterOutCard_std,filterOutCard_min,filterOutCard_max,tables,t_0,t_1,t_2,t_3,t_4,t_5,t_6,Log_sourceCardinalitySum
Job0v0,5GB,12.0,15624897.831045888,15155338.13391021,0.48627533333333306,0.5376477999999998,18749897.5,29999795.0,29999795.0,-1.9499514461972465,-0.04874748753454342,671995408.9725506,1307075609.655349,4.86275333333333,2999979500.0,0.9357844166666667,0.48627533333333306,1.0,37499795.0,224998462500000.0,18749897.5,15909757.619807176,7500000.0,29999795.0,29999795.0,0.0,29999795.0,29999795.0,29999795.0,29999795.0,0.0,0.0,0.0,0.0,0.48627533333333306,0.0,0.48627533333333306,0.48627533333333306,"['lineitem', 'orders']",0.0,29999795.0,0.0,7500000.0,0.0,0.0,0.0,17.43984602425903
Job0v1,5GB,12.0,3812500.2916666665,3856995.9850133737,0.25,0.32500000000000007,4125000.0,7500000.0,7500000.0,-1.9900632637829327,-0.008193344394965156,168000000.5,326771135.1848569,2.5,750000000.0,0.90625,0.25,1.0,8250000.0,5625000000000.0,4125000.0,4772970.773009196,750000.0,7500000.0,7500000.0,0.0,7500000.0,7500000.0,7500000.0,7500000.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,"['orders', 'customer']",750000.0,0.0,0.0,7500000.0,0.0,0.0,0.0,15.925723758310864
Job0v2,5GB,12.0,1000000.331045889,2080755.8079370367,0.48627533333333306,0.5376477999999998,750000.0,750000.0,7500000.0,6.470768129119421,2.8408435502218063,16800000.972550668,32677112.92560707,4.86275333333333,75000000.0,0.9357844166666667,0.48627533333333306,1.0,8250000.0,5625000000000.0,4125000.0,4772970.773009196,750000.0,7500000.0,750000.0,0.0,750000.0,750000.0,750000.0,750000.0,0.0,0.0,0.0,0.0,0.48627533333333306,0.0,0.48627533333333306,0.48627533333333306,"['customer', 'orders']",750000.0,0.0,0.0,7500000.0,0.0,0.0,0.0,15.925723758310864
Job0v3,5GB,12.0,2083333.7083333333,2020725.5203980822,0.75,0.775,2500000.0,4000000.0,4000000.0,-1.9499520364478073,-0.048746802359465,89600001.5,174277937.97265336,7.5,400000000.0,0.96875,0.75,1.0,5000000.0,4000000000000.0,2500000.0,2121320.343559643,1000000.0,4000000.0,4000000.0,0.0,4000000.0,4000000.0,4000000.0,4000000.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.75,"['partsupp', 'part']",0.0,0.0,0.0,0.0,1000000.0,4000000.0,0.0,15.424948470398375
Job0v4,5GB,12.0,833333.6666666666,1114640.586181857,0.5,0.55,1000000.0,1000000.0,4000000.0,3.615708322282475,1.9807414783318527,22400001.0,43569484.09150612,5.0,100000000.0,0.9375,0.5,1.0,5000000.0,4000000000000.0,2500000.0,2121320.343559643,1000000.0,4000000.0,1000000.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,"['part', 'partsupp']",0.0,0.0,0.0,0.0,1000000.0,4000000.0,0.0,15.424948470398375
Job100v0,5GB,11.0,36368.181818181816,20496.121861553136,25.0,25.0,50000.0,50000.0,50000.0,-0.6536698585210523,-0.9892441661663932,1841670.8333333333,2455686.920212788,25.0,5000000.0,0.9444444444444444,0.5,1.0,50025.0,1250000.0,25012.5,35337.661389797715,25.0,50000.0,50000.0,0.0,50000.0,50000.0,50000.0,50000.0,0.0,0.0,0.0,0.0,25000.0,0.0,25000.0,25000.0,"['nation', 'supplier']",0.0,0.0,25.0,0.0,0.0,0.0,50000.0,10.820278159451934
Job100v1,5GB,11.0,18818060.681818184,12903918.694283912,4000000.0,4000000.0,29999795.0,29999795.0,29999795.0,-1.923821311394141,-0.2085429923317105,633329506.6666666,1170182734.5963259,29999795.0,2999979500.0,0.9166666666666666,0.25,1.0,33999795.0,119999180000000.0,16999897.5,18384631.353960093,4000000.0,29999795.0,29999795.0,0.0,29999795.0,29999795.0,29999795.0,29999795.0,0.0,0.0,0.0,0.0,7499948.75,0.0,7499948.75,7499948.75,"['lineitem', 'partsupp']",0.0,29999795.0,0.0,0.0,0.0,4000000.0,0.0,17.341865053150492
Job100v2,5GB,11.0,21818042.045454547,11351721.530807484,7499948.75,7499948.75,29999795.0,29999795.0,29999795.0,-1.6785714285554132,-0.5669467095201969,1106242449.1666667,1472282149.6248167,7500000.0,2999979500.0,0.9166666666666666,0.25,1.0,37499795.0,224998462500000.0,18749897.5,15909757.619807176,7500000.0,29999795.0,29999795.0,0.0,29999795.0,29999795.0,29999795.0,29999795.0,0.0,0.0,0.0,0.0,7499948.75,0.0,7499948.75,7499948.75,"['orders', 'lineitem']",0.0,29999795.0,0.0,7500000.0,0.0,0.0,0.0,17.43984602425903
Job100v3,5GB,11.0,5931818.181818182,2666554.211644002,750000.0,750000.0,7500000.0,7500000.0,7500000.0,0.22939584257018986,-1.3902886610665477,276375000.0,368241216.7995321,750000.0,750000000.0,0.9722222222222222,0.75,1.0,8250000.0,5625000000000.0,4125000.0,4772970.773009196,750000.0,7500000.0,7500000.0,0.0,7500000.0,7500000.0,7500000.0,7500000.0,0.0,0.0,0.0,0.0,5625000.0,0.0,5625000.0,5625000.0,"['customer', 'orders']",750000.0,0.0,0.0,7500000.0,0.0,0.0,0.0,15.925723758310864
Job100v4,5GB,11.0,2559090.909090909,1787990.2379233202,50000.0,50000.0,4000000.0,4000000.0,4000000.0,-1.4397903152448392,-0.5465635826748738,75583333.33333333,159612160.1466087,500000.0,400000000.0,0.9444444444444444,0.5,1.0,4050000.0,200000000000.0,2025000.0,2793071.7856868627,50000.0,4000000.0,4000000.0,0.0,4000000.0,4000000.0,4000000.0,4000000.0,0.0,0.0,0.0,0.0,2000000.0,0.0,2000000.0,2000000.0,"['partsupp', 'supplier']",0.0,0.0,0.0,0.0,0.0,4000000.0,50000.0,15.214227439082721
Job101v0,5GB,8.0,398437.5,291121.4078475557,187500.0,187500.0,187500.0,750000.0,750000.0,-1.7333333333333334,0.5163977794943223,5812500.0,7794228.634059948,187500.0,18750000.0,0.8928571428571429,0.25,1.0,750000.0,750000.0,750000.0,0.0,750000.0,750000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187500.0,0.0,187500.0,187500.0,['customer'],750000.0,0.0,0.0,0.0,0.0,0.0,0.0,13.527828485512494
Job101v1,5GB,8.0,3375000.0,517549.16950676567,3000000.0,3000000.0,3000000.0,4000000.0,4000000.0,-1.7333333333333334,0.5163977794943223,75400000.0,126589099.05675133,3000000.0,300000000.0,0.9642857142857143,0.75,1.0,4000000.0,4000000.0,4000000.0,0.0,4000000.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.0,3000000.0,3000000.0,['partsupp'],0.0,0.0,0.0,0.0,0.0,4000000.0,0.0,15.201804919084164
Job101v2,5GB,8.0,843750.0,129387.29237669142,750000.0,750000.0,750000.0,1000000.0,1000000.0,-1.7333333333333334,0.5163977794943223,18850000.0,31647274.76418783,750000.0,75000000.0,0.9642857142857143,0.75,1.0,1000000.0,1000000.0,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750000.0,0.0,750000.0,750000.0,['part'],0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,13.815510557964274
Job101v3,5GB,8.0,34375.0,12938.729237669142,25000.0,25000.0,25000.0,50000.0,50000.0,-1.7333333333333334,0.5163977794943222,665000.0,1043371.9375179687,25000.0,2500000.0,0.9285714285714286,0.5,1.0,50000.0,50000.0,50000.0,0.0,50000.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,25000.0,25000.0,['supplier'],0.0,0.0,0.0,0.0,0.0,0.0,50000.0,10.819778284410283
Job101v4,5GB,8.0,17.1875,6.469364618834571,12.5,12.5,12.5,25.0,25.0,-1.7333333333333334,0.5163977794943222,332.5,521.6859687589844,12.5,1250.0,0.9285714285714286,0.5,1.0,25.0,25.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,12.5,12.5,['nation'],0.0,0.0,25.0,0.0,0.0,0.0,0.0,3.2188758248682006
Job102v0,5GB,14.0,339291.0714285714,369598.73935837793,25.0,25.0,50000.0,750000.0,750000.0,-1.9102021000402365,0.28059958102478966,10537815.625,26169640.373855982,25.0,75000000.0,1.0,1.0,1.0,800025.0,937500000000.0,266675.0,419316.9050670388,25.0,750000.0,400000.0,494974.74683058326,50000.0,750000.0,800000.0,37500000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['supplier', 'nation', 'customer']",750000.0,0.0,25.0,0.0,0.0,0.0,50000.0,13.592398256161793
Job102v1,5GB,14.0,1732148.2142857143,2038245.3972875478,25.0,25.0,50000.0,4000000.0,4000000.0,-1.916462450502839,0.28841177916945687,56193784.375,139580658.3413287,25.0,400000000.0,1.0,1.0,1.0,4050025.0,5000000000000.0,1350008.3333333333,2295096.1309296684,25.0,4000000.0,2025000.0,2793071.7856868627,50000.0,4000000.0,4050000.0,200000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['nation', 'supplier', 'partsupp']",0.0,0.0,25.0,0.0,0.0,4000000.0,50000.0,15.214233611903175
Job102v2,5GB,14.0,18910597.14285714,13484434.103365503,750000.0,750000.0,29999795.0,29999795.0,29999795.0,-1.7518401598675595,-0.3749447801430353,220405455.625,253672902.78696042,750000.0,750000000.0,1.0,1.0,1.0,38249795.0,1.68748846875e+20,12749931.666666666,15315317.945247117,750000.0,29999795.0,29999795.0,0.0,29999795.0,29999795.0,59999590.0,899987700042025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['lineitem', 'orders', 'customer']",750000.0,29999795.0,0.0,7500000.0,0.0,0.0,0.0,17.45964875874533
Job102v3,5GB,14.0,4446433.928571428,3667913.412971792,25.0,25.0,7500000.0,7500000.0,7500000.0,-1.8886335805159742,-0.3032591405267399,38531565.625,39059222.635343246,25.0,75000000.0,1.0,1.0,1.0,8250025.0,140625000000000.0,2750008.3333333335,4130669.588602837,25.0,7500000.0,7500000.0,0.0,7500000.0,7500000.0,15000000.0,56250000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['orders', 'customer', 'nation']",750000.0,0.0,25.0,7500000.0,0.0,0.0,0.0,15.925726788609303
Job102v4,5GB,14.0,439291.0714285714,372706.00558193406,25.0,25.0,750000.0,750000.0,750000.0,-1.9045849387590637,-0.29495624208012444,3537815.625,3668123.1300152843,25.0,7500000.0,1.0,1.0,1.0,800025.0,937500000000.0,266675.0,419316.9050670388,25.0,750000.0,750000.0,0.0,750000.0,750000.0,1500000.0,562500000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['customer', 'nation', 'supplier']",750000.0,0.0,25.0,0.0,0.0,0.0,50000.0,13.592398256161793
Job103v0,5GB,12.0,8090649.895833333,7144195.354645252,3647064.999999998,3647064.999999998,7499948.75,7500000.0,29999795.0,5.831114764226575,2.6467662779069245,206219762.91666663,299121441.0515829,3647064.999999998,749994875.0,0.8736275333333333,0.25,1.0,37499795.0,224998462500000.0,18749897.5,15909757.619807176,7500000.0,29999795.0,7499948.75,0.0,7499948.75,7499948.75,7499948.75,7499948.75,0.0,0.0,0.0,0.0,5573506.874999999,2724400.226748456,3647064.999999998,7499948.75,"['orders', 'lineitem']",0.0,29999795.0,0.0,7500000.0,0.0,0.0,0.0,17.43984602425903
Job103v1,5GB,12.0,200358.6458333331,266212.14742794586,6.25,6.25,150709.9999999995,690071.0000000001,750000.0,0.7323688165302928,1.505832490222407,2913249.583333324,5984471.012543698,62.5,15070999.99999995,0.8450946666666667,0.20094666666666602,1.0,750025.0,18750000.0,375012.5,530312.408220381,25.0,750000.0,150709.9999999995,0.0,150709.9999999995,150709.9999999995,150709.9999999995,150709.9999999995,0.0,0.0,0.0,0.0,75358.12499999975,106563.64357524182,6.25,150709.9999999995,"['customer', 'nation']",750000.0,0.0,25.0,0.0,0.0,0.0,0.0,13.527861818290283
