plan_id,data_id,outCardinality_count,outCardinality_mean,outCardinality_std,outCardinality_min,outCardinality_10%,outCardinality_50%,outCardinality_90%,outCardinality_max,outCardinality_kurtosis,outCardinality_skew,selectivity_mean,selectivity_min,selectivity_max,sourceCardinalitySum,sourceCardinalityProd,sourceOutCard_mean,sourceOutCard_std,sourceOutCard_min,sourceOutCard_max,joinOutCard_mean,joinOutCard_std,joinOutCard_min,joinOutCard_max,joinOutCard_sum,joinOutCard_prod,groupbyOutCard_mean,groupbyOutCard_std,groupbyOutCard_min,groupbyOutCard_max,filterOutCard_mean,filterOutCard_std,filterOutCard_min,filterOutCard_max,tables,t_0,t_1,t_2,t_3,t_4,t_5,t_6,Log_sourceCardinalitySum,netRunTime,Log_netRunTime,pred_Log_netRunTime,unc_low_Log_netRunTime,unc_up_Log_netRunTime
Job0v0,1GB,11.0,695566.0909090909,1815630.67338071,1.0,1.0,1.0,1500000.0,6001215.0,5.04524114751791,2.5762552744970875,1.0,1.0,1.0,7651215.0,1.350273375e+18,2550405.0,3063770.9186678757,150000.0,6001215.0,1.0,0.0,1.0,1.0,2.0,1.0,5.0,0.0,5.0,5.0,1.0,0.0,1.0,1.0,"['lineitem', 'orders', 'customer']",150000.0,6001215.0,0.0,1500000.0,0.0,0.0,0.0,15.850375016721008,,,6.853409219742799,6.120975227194129,7.048021422984034
Job0v1,1GB,11.0,682840.6363636364,1820321.3121724564,1.0,1.0,1.0,1500000.0,6001215.0,5.039176610998233,2.575608579012842,1.0,1.0,1.0,7511215.0,9.0018225e+16,2503738.3333333335,3119179.744004557,10000.0,6001215.0,1.0,0.0,1.0,1.0,2.0,1.0,25.0,0.0,25.0,25.0,1.0,0.0,1.0,1.0,"['orders', 'lineitem', 'supplier']",0.0,6001215.0,0.0,1500000.0,0.0,0.0,10000.0,15.831907794942268,,,7.118332501605476,6.3482575904066145,7.298241784566744
Job0v2,1GB,11.0,14550.636363636364,45023.40508285158,1.0,1.0,1.0,10000.0,150000.0,6.021257540596556,2.8237692261713074,1.0,1.0,1.0,160025.0,37500000000.0,53341.666666666664,83857.02241514025,25.0,150000.0,1.0,0.0,1.0,1.0,2.0,1.0,25.0,0.0,25.0,25.0,1.0,0.0,1.0,1.0,"['customer', 'nation', 'supplier']",150000.0,0.0,25.0,0.0,0.0,0.0,10000.0,11.983085332010203,350.0,5.857933154483459,,,
Job0v3,1GB,11.0,73639.72727272728,240925.11220214923,1.0,1.0,1.0,10000.0,800000.0,6.097266903328917,2.845246959178794,1.0,1.0,1.0,810025.0,200000000000.0,270008.3333333333,459013.34425954695,25.0,800000.0,1.0,0.0,1.0,1.0,2.0,1.0,5.0,0.0,5.0,5.0,1.0,0.0,1.0,1.0,"['partsupp', 'supplier', 'nation']",0.0,0.0,25.0,0.0,0.0,800000.0,10000.0,13.604820390369863,80.0,4.382026634673881,,,
Job0v4,1GB,11.0,700111.3636363636,1814190.352190766,1.0,1.0,1.0,1500000.0,6001215.0,5.043424572503852,2.575227575716951,1.0,1.0,1.0,7701215.0,1.8003645e+18,2567071.6666666665,3044257.762642371,200000.0,6001215.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,"['part', 'lineitem', 'orders']",0.0,6001215.0,0.0,1500000.0,200000.0,0.0,0.0,15.856888666583824,,,6.735585305363899,6.10924768447876,6.917705535888672
Job100v0,1GB,8.0,1875304.25,2629368.0585676176,1.0,1.0,750000.5,6001215.0,6001215.0,-0.8511925457908025,0.9576262910732625,1.0,1.0,1.0,7501215.0,9001822500000.0,3750607.5,3182839.6500786054,1500000.0,6001215.0,6001215.0,0.0,6001215.0,6001215.0,6001215.0,6001215.0,1500000.0,0.0,1500000.0,1500000.0,1.0,0.0,1.0,1.0,"['orders', 'lineitem']",0.0,6001215.0,0.0,1500000.0,0.0,0.0,0.0,15.830575565385956,,,7.6383936390690055,6.833802163107975,8.187390747336517
Job100v1,1GB,8.0,18757.375,53030.02969191135,1.0,1.0,3.0,45017.49999999997,150000.0,3.142856689010424,2.267786657952689,1.0,1.0,1.0,150025.0,3750000.0,75012.5,106048.33950845247,25.0,150000.0,25.0,0.0,25.0,25.0,25.0,25.0,5.0,0.0,5.0,5.0,1.0,0.0,1.0,1.0,"['customer', 'nation']",150000.0,0.0,25.0,0.0,0.0,0.0,0.0,11.918557225857713,30.0,3.4011973816621555,,,
Job100v2,1GB,8.0,102503.625,281867.25739100133,1.0,1.0,13.0,246999.99999999985,800000.0,3.1399190622606747,2.2666273904779652,1.0,1.0,1.0,810000.0,8000000000.0,405000.0,558614.3571373726,10000.0,800000.0,10000.0,0.0,10000.0,10000.0,10000.0,10000.0,25.0,0.0,25.0,25.0,1.0,0.0,1.0,1.0,"['partsupp', 'supplier']",0.0,0.0,0.0,0.0,0.0,800000.0,10000.0,13.604789526648622,,,4.977100411446356,4.382026672363281,5.508484459024015
Job100v3,1GB,8.0,1712804.25,2695222.6455052304,1.0,1.0,100000.5,6001215.0,6001215.0,-0.7844602183856697,1.0464992149067214,1.0,1.0,1.0,6201215.0,1200243000000.0,3100607.5,4102078.4656211175,200000.0,6001215.0,6001215.0,0.0,6001215.0,6001215.0,6001215.0,6001215.0,1500000.0,0.0,1500000.0,1500000.0,1.0,0.0,1.0,1.0,"['part', 'lineitem']",0.0,6001215.0,0.0,0.0,200000.0,0.0,0.0,15.640255798558085,,,7.465826214222612,6.822754711114878,8.146439592289413
Job100v4,1GB,8.0,1501555.125,2777252.5119310906,1.0,1.0,4.0,6001215.0,6001215.0,-0.666670789826294,1.1546951980551279,1.0,1.0,1.0,6011215.0,60012150000.0,3005607.5,4236428.754046561,10000.0,6001215.0,6001215.0,0.0,6001215.0,6001215.0,6001215.0,6001215.0,7.0,0.0,7.0,7.0,1.0,0.0,1.0,1.0,"['supplier', 'lineitem']",0.0,6001215.0,0.0,0.0,0.0,0.0,10000.0,15.609137449140757,,,7.228793229807191,6.857328212555506,7.337190107431847
